,primary_sector,variable
8,adventure travel,Automotive & Sports
14,aerospace,Automotive & Sports
45,auto,Automotive & Sports
46,automated kiosk,Automotive & Sports
47,automotive,Automotive & Sports
57,bicycles,Automotive & Sports
69,boating industry,Automotive & Sports
87,cad,Automotive & Sports
93,cars,Automotive & Sports
188,design,Automotive & Sports
189,designers,Automotive & Sports
213,drones,Automotive & Sports
226,electric vehicles,Automotive & Sports
292,fuels,Automotive & Sports
331,heavy industry,Automotive & Sports
364,industrial automation,Automotive & Sports
409,limousines,Automotive & Sports
602,soccer,Automotive & Sports
626,sporting goods,Automotive & Sports
627,sports,Automotive & Sports
652,transportation,Automotive & Sports
657,unmanned air systems,Automotive & Sports
688,,Blanks
1392,air pollution control,Cleantech / Semiconductors
1409,aquaculture,Cleantech / Semiconductors
1437,bio-pharm,Cleantech / Semiconductors
1438,biofuels,Cleantech / Semiconductors
1439,bioinformatics,Cleantech / Semiconductors
1440,biomass power generation,Cleantech / Semiconductors
1441,biometrics,Cleantech / Semiconductors
1442,biotechnology,Cleantech / Semiconductors
1443,bitcoin,Cleantech / Semiconductors
1466,carbon,Cleantech / Semiconductors
1477,chemicals,Cleantech / Semiconductors
1482,clean energy,Cleantech / Semiconductors
1483,clean technology,Cleantech / Semiconductors
1484,clean technology it,Cleantech / Semiconductors
1501,commercial solar,Cleantech / Semiconductors
1502,commodities,Cleantech / Semiconductors
1509,concentrated solar power,Cleantech / Semiconductors
1581,disruptive models,Cleantech / Semiconductors
1593,early-stage technology,Cleantech / Semiconductors
1613,energy,Cleantech / Semiconductors
1614,energy efficiency,Cleantech / Semiconductors
1615,energy it,Cleantech / Semiconductors
1616,energy ma0gement,Cleantech / Semiconductors
1617,energy storage,Cleantech / Semiconductors
1630,environmental innovation,Cleantech / Semiconductors
1643,fertility,Cleantech / Semiconductors
1667,fuel cells,Cleantech / Semiconductors
1669,funeral industry,Cleantech / Semiconductors
1677,gas,Cleantech / Semiconductors
1691,green,Cleantech / Semiconductors
1692,green consumer goods,Cleantech / Semiconductors
1712,home & garden,Cleantech / Semiconductors
1713,home automation,Cleantech / Semiconductors
1714,home decor,Cleantech / Semiconductors
1784,lighting,Cleantech / Semiconductors
1808,material science,Cleantech / Semiconductors
1809,mechanical solutions,Cleantech / Semiconductors
1820,minerals,Cleantech / Semiconductors
1821,mining technologies,Cleantech / Semiconductors
1847,0notechnology,Cleantech / Semiconductors
1848,0tural language processing,Cleantech / Semiconductors
1849,0tural resources,Cleantech / Semiconductors
1938,recycling,Cleantech / Semiconductors
1940,renewable energies,Cleantech / Semiconductors
1941,renewable tech,Cleantech / Semiconductors
1959,semiconductor manufacturing equipment,Cleantech / Semiconductors
1960,semiconductors,Cleantech / Semiconductors
1997,solar,Cleantech / Semiconductors
1998,space travel,Cleantech / Semiconductors
2048,waste ma0gement,Cleantech / Semiconductors
2050,water,Cleantech / Semiconductors
2051,water purification,Cleantech / Semiconductors
2052,wearables,Cleantech / Semiconductors
2100,art,Entertainment
2102,artists globally,Entertainment
2106,audio,Entertainment
2107,audiobooks,Entertainment
2136,brewing,Entertainment
2149,business travelers,Entertainment
2158,casual games,Entertainment
2159,celebrity,Entertainment
2180,coffee,Entertainment
2187,comics,Entertainment
2198,concerts,Entertainment
2199,console gaming,Entertainment
2210,content,Entertainment
2211,content creators,Entertainment
2212,content delivery,Entertainment
2213,content discovery,Entertainment
2214,content syndication,Entertainment
2215,contests,Entertainment
2224,craft beer,Entertainment
2225,creative,Entertainment
2226,creative industries,Entertainment
2260,digital entertainment,Entertainment
2261,digital media,Entertainment
2262,digital rights ma0gement,Entertainment
2263,digital sig0ge,Entertainment
2278,e-books,Entertainment
