,carlength,curbweight,boreratio,fuelefficiency,enginesize,price,carwidth,wheelbase,horsepower,symboling_-1,symboling_0,symboling_1,symboling_2,symboling_3,fueltype_gas,aspiration_turbo,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginelocation_rear,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,binned_med-price,binned_high-price
0,168.8,2548,3.47,23.0,130,13495,64.1,88.6,111,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,168.8,2548,3.47,23.0,130,16500,64.1,88.6,111,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,171.2,2823,2.68,21.0,152,16500,65.5,94.5,154,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
3,176.6,2337,3.19,26.0,109,13950,66.2,99.8,102,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
4,176.6,2824,3.19,19.0,136,17450,66.4,99.4,115,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
5,177.3,2507,3.19,21.0,136,15250,66.3,99.8,110,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
6,192.7,2844,3.19,21.0,136,17710,71.4,105.8,110,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
7,192.7,2954,3.19,21.0,136,18920,71.4,105.8,110,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
8,192.7,3086,3.13,18.0,131,23875,71.4,105.8,140,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
9,178.2,3053,3.13,18.0,131,17859,67.9,99.5,160,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
10,176.8,2395,3.5,25.0,108,16430,64.8,101.2,101,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
11,176.8,2395,3.5,25.0,108,16925,64.8,101.2,101,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
12,176.8,2710,3.31,23.0,164,20970,64.8,101.2,121,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
13,176.8,2765,3.31,23.0,164,21105,64.8,101.2,121,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
14,189.0,3055,3.31,22.0,164,24565,66.9,103.5,121,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
15,189.0,3230,3.62,18.0,209,30760,66.9,103.5,182,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
16,193.8,3380,3.62,18.0,209,41315,67.9,103.5,182,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
17,197.0,3505,3.62,16.0,209,36880,70.9,110.0,182,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
18,141.1,1488,2.91,49.0,61,5151,60.3,88.4,48,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19,155.9,1874,3.03,40.0,90,6295,63.6,94.5,70,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20,158.8,1909,3.03,40.0,90,6575,63.6,94.5,70,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
21,157.3,1876,2.97,38.0,90,5572,63.8,93.7,68,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22,157.3,1876,2.97,33.0,90,6377,63.8,93.7,68,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
23,157.3,2128,3.03,26.0,98,7957,63.8,93.7,102,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
24,157.3,1967,2.97,33.0,90,6229,63.8,93.7,68,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,157.3,1989,2.97,33.0,90,6692,63.8,93.7,68,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,157.3,1989,2.97,33.0,90,7609,63.8,93.7,68,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
27,157.3,2191,3.03,26.0,98,8558,63.8,93.7,102,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28,174.6,2535,3.34,26.0,122,8921,64.6,103.3,88,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,173.2,2811,3.6,20.0,156,12964,66.3,95.9,145,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
30,144.6,1713,2.91,50.0,92,6479,63.9,86.6,58,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
31,144.6,1819,2.91,33.0,92,6855,63.9,86.6,76,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
32,150.0,1837,2.91,39.0,79,5399,64.0,93.7,60,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
33,150.0,1940,2.91,31.0,92,6529,64.0,93.7,76,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
34,150.0,1956,2.91,31.0,92,7129,64.0,93.7,76,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
35,163.4,2010,2.91,31.0,92,7295,64.0,96.5,76,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
36,157.1,2024,2.92,31.0,92,7295,63.9,96.5,76,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
