"ID";"OrderId";"ProductId";"UnitPrice";"Quantity"
1;1;11;14.0;12.0
2;1;42;9.8;10.0
3;1;72;34.8;5.0
1;1;11;14.0;12.0
2;1;42;9.8;10.0
3;1;72;34.8;5.0
4;2;14;18.6;9.0
5;2;51;42.4;40.0
6;3;41;7.7;10.0
7;3;51;42.4;35.0
8;3;65;16.8;15.0
9;4;22;16.8;6.0
10;4;57;15.6;15.0
11;4;65;16.8;20.0
12;5;20;64.8;40.0
13;5;33;2.0;25.0
14;5;60;27.2;40.0
15;6;31;10.0;20.0
16;6;39;14.4;42.0
17;6;49;16.0;40.0
18;7;24;3.6;15.0
19;7;55;19.2;21.0
20;7;74;8.0;21.0
21;8;2;15.2;20.0
22;8;16;13.9;35.0
23;8;36;15.2;25.0
24;8;59;44.0;30.0
25;9;53;26.2;15.0
26;9;77;10.4;12.0
27;10;27;35.1;25.0
28;10;39;14.4;6.0
29;10;77;10.4;15.0
30;11;2;15.2;50.0
31;11;5;17.0;65.0
32;11;32;25.6;6.0
33;12;21;8.0;10.0
34;12;37;20.8;1.0
35;13;41;7.7;16.0
36;13;57;15.6;50.0
37;13;62;39.4;15.0
38;13;70;12.0;21.0
39;14;21;8.0;20.0
40;14;35;14.4;20.0
41;15;5;17.0;12.0
42;15;7;24.0;15.0
43;15;56;30.4;2.0
44;16;16;13.9;60.0
45;16;24;3.6;28.0
46;16;30;20.7;60.0
47;16;74;8.0;36.0
48;17;2;15.2;35.0
49;17;41;7.7;25.0
50;18;17;31.2;30.0
51;18;70;12.0;20.0
52;19;12;30.4;12.0
53;20;40;14.7;50.0
54;20;59;44.0;70.0
55;20;76;14.4;15.0
56;21;29;99.0;10.0
57;21;72;27.8;4.0
58;22;33;2.0;60.0
59;22;72;27.8;20.0
60;23;36;15.2;30.0
61;23;43;36.8;25.0
62;24;33;2.0;24.0
63;25;20;64.8;6.0
64;25;31;10.0;40.0
65;25;72;27.8;24.0
66;26;10;24.8;24.0
67;26;31;10.0;15.0
68;26;33;2.0;20.0
69;26;40;14.7;60.0
70;26;76;14.4;33.0
71;27;71;17.2;20.0
72;27;72;27.8;7.0
73;28;24;3.6;12.0
74;28;59;44.0;6.0
75;29;10;24.8;15.0
76;29;13;4.8;10.0
77;30;28;36.4;20.0
78;30;62;39.4;12.0
79;31;44;15.5;16.0
80;31;59;44.0;15.0
81;31;63;35.1;8.0
82;31;73;12.0;25.0
83;32;17;31.2;15.0
84;33;24;3.6;12.0
85;33;55;19.2;20.0
86;33;75;6.2;30.0
87;34;19;7.3;1.0
88;34;24;3.6;6.0
89;34;35;14.4;4.0
90;35;30;20.7;6.0
91;35;57;15.6;2.0
92;36;15;12.4;20.0
93;36;19;7.3;18.0
94;36;60;27.2;35.0
95;36;72;27.8;3.0
96;37;27;35.1;15.0
97;37;44;15.5;21.0
98;37;60;27.2;20.0
99;37;67;11.2;5.0
100;38;1;14.4;45.0
101;38;40;14.7;40.0
102;38;53;26.2;36.0
103;39;35;14.4;100.0
104;39;62;39.4;40.0
105;40;16;13.9;40.0
106;40;34;11.2;20.0
107;40;46;9.6;15.0
108;41;54;5.9;10.0
109;41;68;10.0;3.0
110;42;3;8.0;30.0
111;42;64;26.6;9.0
112;43;5;17.0;20.0
113;43;29;99.0;15.0
114;43;49;16.0;15.0
115;43;77;10.4;10.0
116;44;13;4.8;20.0
117;44;44;15.5;24.0
118;44;51;42.4;2.0
119;45;20;64.8;20.0
120;46;18;50.0;12.0
121;46;24;3.6;10.0
122;46;63;35.1;5.0
123;46;75;6.2;6.0
124;47;1;14.4;18.0
125;47;17;31.2;15.0
126;47;43;36.8;15.0
127;47;60;27.2;21.0
128;47;75;6.2;6.0
129;48;56;30.4;4.0
130;49;11;16.8;12.0
131;49;16;13.9;30.0
132;49;69;28.8;15.0
133;50;39;14.4;60.0
134;50;72;27.8;20.0
135;51;2;15.2;40.0
136;51;36;15.2;40.0
137;51;59;44.0;30.0
138;51;62;39.4;15.0
139;52;19;7.3;15.0
140;52;70;12.0;20.0
141;53;66;13.6;30.0
142;53;68;10.0;20.0
143;54;40;14.7;10.0
144;54;56;30.4;20.0
145;55;17;31.2;40.0
146;55;28;36.4;28.0
147;55;43;36.8;12.0
148;56;40;14.7;40.0
149;56;65;16.8;30.0
150;56;68;10.0;15.0
151;57;49;16.0;30.0
152;57;59;44.0;10.0
153;57;71;17.2;2.0
154;58;18;50.0;25.0
155;58;29;99.0;25.0
156;58;39;14.4;30.0
157;59;30;20.7;10.0
158;59;53;26.2;10.0
159;59;54;5.9;5.0
160;60;62;39.4;10.0
161;60;68;10.0;3.0
162;61;69;28.8;1.0
163;61;70;12.0;5.0
164;62;4;17.6;20.0
165;62;6;20.0;30.0
166;62;42;11.2;2.0
167;62;43;36.8;20.0
168;62;71;17.2;3.0
169;63;16;13.9;10.0
170;63;62;39.4;5.0
171;64;42;11.2;6.0
172;64;69;28.8;7.0
173;65;28;36.4;4.0
174;65;43;36.8;24.0
175;65;53;26.2;20.0
176;65;75;6.2;10.0
177;66;36;15.2;12.0
178;67;32;25.6;40.0
179;67;58;10.6;30.0
180;67;62;39.4;25.0
181;68;34;11.2;14.0
182;68;70;12.0;30.0
183;69;41;7.7;10.0
184;69;62;39.4;70.0
185;70;1;14.4;20.0
186;71;41;7.7;20.0
187;71;76;14.4;6.0
188;72;17;31.2;8.0
189;72;28;36.4;14.0
190;72;76;14.4;30.0
191;73;71;17.2;30.0
192;74;35;14.4;10.0
193;75;52;5.6;20.0
194;76;15;12.4;5.0
195;76;25;11.2;4.0
196;76;39;14.4;4.0
197;77;16;13.9;21.0
198;77;35;14.4;70.0
199;77;46;9.6;30.0
200;77;59;44.0;40.0
201;77;63;35.1;80.0
202;78;6;20.0;6.0
203;78;13;4.8;12.0
204;78;14;18.6;9.0
205;78;31;10.0;4.0
206;78;72;27.8;40.0
207;79;4;17.6;24.0
208;79;57;15.6;16.0
209;79;75;6.2;50.0
210;80;2;15.2;25.0
211;80;11;16.8;50.0
212;80;30;20.7;35.0
213;80;58;10.6;30.0
214;81;59;44.0;9.0
215;81;65;16.8;40.0
216;81;68;10.0;10.0
217;82;19;7.3;10.0
218;82;30;20.7;8.0
219;82;38;210.8;20.0
220;82;56;30.4;12.0
221;83;26;24.9;50.0
222;83;72;27.8;25.0
223;84;54;5.9;15.0
224;85;18;50.0;40.0
225;85;42;11.2;10.0
226;85;47;7.6;16.0
227;86;14;18.6;10.0
228;86;21;8.0;10.0
229;86;71;17.2;40.0
230;87;52;5.6;8.0
231;87;68;10.0;10.0
232;88;2;15.2;7.0
233;88;31;10.0;25.0
234;88;32;25.6;6.0
235;88;51;42.4;48.0
236;89;4;17.6;18.0
237;90;23;7.2;40.0
238;90;26;24.9;24.0
239;90;36;15.2;20.0
240;90;37;20.8;28.0
241;90;72;27.8;25.0
242;91;17;31.2;20.0
243;91;30;20.7;15.0
244;92;4;17.6;10.0
245;92;17;31.2;70.0
246;92;62;39.4;28.0
247;93;18;50.0;20.0
248;93;41;7.7;12.0
249;93;43;36.8;40.0
250;94;33;2.0;8.0
251;94;59;44.0;9.0
252;95;2;15.2;24.0
253;95;31;10.0;56.0
254;95;36;15.2;40.0
255;95;55;19.2;40.0
256;96;64;26.6;50.0
257;96;68;10.0;4.0
258;96;76;14.4;15.0
259;97;4;17.6;35.0
260;97;8;32.0;70.0
261;98;8;32.0;70.0
262;98;19;7.3;80.0
263;98;42;11.2;9.0
264;99;17;31.2;36.0
265;99;56;30.4;20.0
266;100;25;11.2;10.0
267;100;39;14.4;50.0
268;100;40;14.7;4.0
269;100;75;6.2;6.0
270;101;1;14.4;15.0
271;101;23;7.2;25.0
272;102;54;5.9;24.0
273;103;50;13.0;15.0
274;103;69;28.8;18.0
275;104;38;210.8;20.0
276;104;41;7.7;13.0
277;104;44;15.5;77.0
278;104;65;16.8;10.0
279;105;24;3.6;10.0
280;105;54;5.9;20.0
281;106;11;16.8;12.0
282;106;38;210.8;50.0
283;107;1;14.4;12.0
284;107;29;99.0;4.0
285;108;24;3.6;25.0
286;108;57;15.6;25.0
287;109;31;10.0;30.0
288;109;55;19.2;12.0
289;109;69;28.8;20.0
290;110;10;24.8;30.0
291;110;26;24.9;16.0
292;110;60;27.2;8.0
293;111;24;3.6;10.0
294;111;34;11.2;10.0
295;111;36;15.2;20.0
296;112;16;13.9;56.0
297;112;31;10.0;70.0
298;112;60;27.2;80.0
299;113;28;36.4;30.0
300;113;29;99.0;35.0
301;113;38;210.8;10.0
302;113;49;16.0;35.0
303;113;54;5.9;28.0
304;114;39;14.4;54.0
305;114;60;27.2;55.0
306;115;25;11.2;50.0
307;115;51;42.4;20.0
308;115;54;5.9;24.0
309;116;31;10.0;20.0
310;116;75;6.2;12.0
311;116;76;14.4;12.0
312;117;69;28.8;30.0
313;117;71;17.2;5.0
314;118;11;16.8;24.0
315;119;65;16.8;5.0
316;119;77;10.4;5.0
317;120;34;11.2;36.0
318;120;54;5.9;18.0
319;120;65;16.8;15.0
320;120;77;10.4;7.0
321;121;21;8.0;5.0
322;121;28;36.4;13.0
323;121;57;15.6;25.0
324;121;64;26.6;35.0
325;122;29;99.0;20.0
326;122;56;30.4;18.0
327;123;1;14.4;15.0
328;123;64;26.6;30.0
329;123;74;8.0;20.0
330;124;36;15.2;6.0
331;125;20;64.8;12.0
332;125;38;210.8;40.0
333;125;60;27.2;70.0
334;125;72;27.8;42.0
335;126;58;10.6;80.0
336;126;71;17.2;50.0
337;127;31;10.0;30.0
338;127;58;10.6;15.0
339;128;14;18.6;15.0
